brand,product_name,category,key_ingredients,price,launch_month,target,tier
후,천기단 화현 에센스,에센스,녹용/산삼/사향,350000,2026-01,40대+여성,프리미엄
후,천기단 화현 크림,크림,녹용/산삼/하수오,380000,2026-01,40대+여성,프리미엄
후,비첩자생 에센스,에센스,자생식물/꿀,250000,2026-02,35~45세 여성,프리미엄
숨37,시크릿 에센스,에센스,자연발효성분,180000,2026-01,30대초 여성,프리미엄
숨37,워터풀 크림,크림,발효수/히알루론산,95000,2026-03,25~35세 여성,매스티지
오휘,더 퍼스트 에센스,에센스,셀바이탈라이저,160000,2026-02,35~45세 여성,프리미엄
오휘,미라클 모이스처 크림,크림,딥하이드레이션/세라마이드,85000,2026-04,30대 여성,매스티지
빌리프,트루크림 아쿠아밤,크림,콤프리잎/오트커널,42000,2026-01,20대후~30대초,매스
빌리프,트루크림 모이스처라이징밤,크림,콤프리잎/세라마이드,48000,2026-03,25~35세,매스
CNP,프로폴리스 앰플,앰플,프로폴리스/나이아신아마이드,38000,2026-02,20대~30대,매스
CNP,뮤제너 앰플,앰플,세라마이드/판테놀,35000,2026-04,25~35세,매스
더페이스샵,더테라피 퍼스트 세럼,세럼,식물줄기세포/콜라겐,28000,2026-01,30대 여성,매스
더페이스샵,라이스세라마이드 크림,크림,쌀/세라마이드,22000,2026-03,20~40대,이코노미
후,공진향 수려문 에센스,에센스,공진단/산삼배양근,420000,2026-05,45대+여성,슈퍼프리미엄
숨37,로시크 리페어 세럼,세럼,자연발효/장미추출물,210000,2026-06,35~45세 여성,프리미엄
